Ngày,Lượt vào,Lượt ra,Tử vong
08/08/2020,76,72,0
09/08/2020,60,27,1
10/08/2020,813,726,0
11/08/2020,736,794,2
12/08/2020,695,694,1
13/08/2020,711,739,0
14/08/2020,850,891,0
15/08/2020,71,74,0
16/08/2020,72,31,0
17/08/2020,928,905,2
18/08/2020,756,816,0
19/08/2020,595,622,1
20/08/2020,678,676,0
21/08/2020,753,838,1
22/08/2020,64,74,1
23/08/2020,66,27,0
24/08/2020,873,835,2
25/08/2020,685,839,1
26/08/2020,582,670,0
27/08/2020,593,691,4
28/08/2020,688,823,2
29/08/2020,23,85,0
30/08/2020,51,23,1
31/08/2020,684,790,1
01/09/2020,642,722,0
02/09/2020,72,77,1
03/09/2020,868,814,0
04/09/2020,912,958,0
05/09/2020,96,82,1
06/09/2020,67,29,0
07/09/2020,971,879,0
08/09/2020,775,864,2
09/09/2020,757,758,1
10/09/2020,833,818,0
11/09/2020,875,952,0
12/09/2020,89,91,1
13/09/2020,74,28,0
14/09/2020,1012,943,1
15/09/2020,832,907,2
16/09/2020,751,747,0
17/09/2020,710,708,1
18/09/2020,789,851,0
19/09/2020,91,78,0
20/09/2020,73,27,0
21/09/2020,978,965,3
22/09/2020,835,1000,0
23/09/2020,691,728,1
24/09/2020,712,774,1
25/09/2020,734,871,0
26/09/2020,47,86,0
27/09/2020,66,45,0
28/09/2020,820,910,1
29/09/2020,685,887,0
30/09/2020,530,704,5
01/10/2020,642,628,0
02/10/2020,736,784,4
03/10/2020,84,77,0
04/10/2020,87,33,0
05/10/2020,258,208,0
06/10/2020,211,169,1
07/10/2020,162,131,1
08/10/2020,860,864,0
09/10/2020,903,953,0
10/10/2020,103,113,0
11/10/2020,94,46,0
12/10/2020,965,912,1
13/10/2020,923,918,2
14/10/2020,871,875,2
15/10/2020,834,861,2
16/10/2020,890,978,2
17/10/2020,90,100,0
18/10/2020,107,46,0
19/10/2020,910,864,3
20/10/2020,769,892,0
21/10/2020,816,853,0
22/10/2020,791,842,1
23/10/2020,630,719,1
24/10/2020,85,99,0
25/10/2020,72,34,0
26/10/2020,889,894,0
27/10/2020,771,926,0
28/10/2020,240,355,1
29/10/2020,735,843,0
30/10/2020,759,924,0
31/10/2020,29,99,1
01/11/2020,95,38,0
02/11/2020,1029,908,0
03/11/2020,867,921,0
04/11/2020,803,753,3
05/11/2020,801,843,0
06/11/2020,816,904,0
07/11/2020,105,97,0
08/11/2020,148,30,0
09/11/2020,1020,952,0
10/11/2020,829,870,0
11/11/2020,781,820,0
12/11/2020,783,823,0
13/11/2020,941,979,0
14/11/2020,114,134,0
15/11/2020,115,35,0
16/11/2020,1111,1038,0
17/11/2020,783,912,2
18/11/2020,800,842,1
19/11/2020,730,728,5
20/11/2020,825,914,2
21/11/2020,123,120,0
22/11/2020,80,52,0
23/11/2020,983,933,0
24/11/2020,837,1001,4
25/11/2020,743,797,0
26/11/2020,695,768,3
27/11/2020,794,983,3
28/11/2020,55,132,0
29/11/2020,39,35,0
30/11/2020,2237,2610,1
01/12/2020,800,877,1
02/12/2020,773,770,0
03/12/2020,674,664,0
04/12/2020,788,850,1
05/12/2020,95,93,0
06/12/2020,82,47,0
07/12/2020,918,864,1
08/12/2020,788,911,1
09/12/2020,773,830,0
10/12/2020,753,797,1
11/12/2020,809,899,0
12/12/2020,75,92,0
13/12/2020,63,35,0
14/12/2020,404,301,0
15/12/2020,409,430,2
16/12/2020,105,33,1
17/12/2020,314,242,2
18/12/2020,218,237,1
19/12/2020,78,90,0
20/12/2020,87,32,0
21/12/2020,884,861,1
22/12/2020,756,859,1
23/12/2020,602,603,1
24/12/2020,653,701,2
25/12/2020,749,809,0
26/12/2020,64,72,0
27/12/2020,72,46,0
28/12/2020,771,839,3
29/12/2020,674,836,1
30/12/2020,609,779,0
31/12/2020,598,878,1
01/01/2021,129,92,0
02/01/2021,100,29,0
03/01/2021,87,29,0
04/01/2021,1076,994,0
05/01/2021,893,935,0
06/01/2021,761,754,1
07/01/2021,783,751,1
08/01/2021,847,866,0
09/01/2021,85,74,0
10/01/2021,64,26,0
11/01/2021,875,852,1
12/01/2021,735,768,0
13/01/2021,639,685,1
14/01/2021,741,754,1
15/01/2021,813,895,0
16/01/2021,78,77,0
17/01/2021,72,34,0
18/01/2021,892,873,3
19/01/2021,780,832,0
20/01/2021,710,746,0
21/01/2021,710,727,1
22/01/2021,753,829,0
23/01/2021,85,90,0
24/01/2021,50,33,0
25/01/2021,819,859,0
26/01/2021,726,847,1
27/01/2021,617,705,1
28/01/2021,675,800,0
29/01/2021,688,834,1
30/01/2021,28,91,0
31/01/2021,30,34,0
01/02/2021,869,848,0
02/02/2021,900,989,0
03/02/2021,877,926,0
04/02/2021,787,871,0
05/02/2021,1086,1193,1
06/02/2021,69,80,0
07/02/2021,79,25,0
08/02/2021,907,993,1
09/02/2021,575,689,1
10/02/2021,66,145,0
11/02/2021,90,126,1
12/02/2021,90,34,0
13/02/2021,116,101,0
14/02/2021,110,74,1
15/02/2021,123,97,1
16/02/2021,140,52,1
17/02/2021,572,499,0
18/02/2021,693,725,0
19/02/2021,710,784,0
20/02/2021,63,81,1
21/02/2021,93,29,0
22/02/2021,937,890,2
23/02/2021,757,846,1
24/02/2021,709,796,5
25/02/2021,611,716,2
26/02/2021,795,946,3
27/02/2021,15,198,0
28/02/2021,29,33,6
01/03/2021,833,759,0
02/03/2021,820,828,0
03/03/2021,834,831,1
04/03/2021,870,884,0
05/03/2021,997,1046,0
06/03/2021,82,71,0
07/03/2021,55,33,0
08/03/2021,832,819,2
09/03/2021,883,914,0
10/03/2021,682,697,0
11/03/2021,597,593,1
12/03/2021,590,659,0
13/03/2021,82,85,0
14/03/2021,65,31,2
15/03/2021,679,629,1
16/03/2021,565,605,0
17/03/2021,535,529,1
18/03/2021,549,551,0
19/03/2021,569,654,1
20/03/2021,56,74,0
21/03/2021,52,23,0
22/03/2021,717,689,1
23/03/2021,670,791,1
24/03/2021,649,727,3
25/03/2021,652,731,1
26/03/2021,758,871,0
27/03/2021,42,93,1
28/03/2021,22,22,0
29/03/2021,687,752,1
30/03/2021,558,719,2
31/03/2021,470,531,0
01/04/2021,752,770,0
02/04/2021,979,1028,0
03/04/2021,77,85,0
04/04/2021,84,29,1
05/04/2021,1067,984,1
06/04/2021,883,875,0
07/04/2021,832,847,0
08/04/2021,791,800,0
09/04/2021,791,857,0
10/04/2021,80,90,0
11/04/2021,66,21,0
12/04/2021,727,683,0
13/04/2021,702,725,1
14/04/2021,603,629,0
15/04/2021,589,607,2
16/04/2021,670,715,0
17/04/2021,82,85,1
18/04/2021,66,23,0
19/04/2021,802,799,1
20/04/2021,683,828,1
21/04/2021,78,122,0
22/04/2021,771,721,0
23/04/2021,917,1048,1
24/04/2021,62,97,0
25/04/2021,42,29,0
26/04/2021,869,908,3
27/04/2021,703,868,0
28/04/2021,673,789,0
29/04/2021,763,967,0
30/04/2021,0,0,0
01/05/2021,81,49,0
02/05/2021,81,53,0
03/05/2021,87,36,0
04/05/2021,1171,1115,1
05/05/2021,1024,1059,1
06/05/2021,802,799,1
07/05/2021,885,913,0
08/05/2021,78,83,0
09/05/2021,73,22,0
10/05/2021,750,746,0
11/05/2021,586,659,5
12/05/2021,508,527,1
13/05/2021,451,487,0
14/05/2021,607,669,1
15/05/2021,50,53,0
16/05/2021,54,29,0
17/05/2021,642,637,3
18/05/2021,570,675,2
19/05/2021,528,552,1
20/05/2021,466,505,1
21/05/2021,602,673,2
22/05/2021,47,58,0
23/05/2021,53,16,1
24/05/2021,722,720,1
25/05/2021,587,699,0
26/05/2021,568,647,0
27/05/2021,578,656,1
28/05/2021,661,772,0
29/05/2021,30,88,0
30/05/2021,22,24,0
31/05/2021,322,331,0
01/06/2021,553,574,0
02/06/2021,592,583,0
03/06/2021,718,720,0
04/06/2021,901,940,0
05/06/2021,69,80,0
06/06/2021,68,24,0
07/06/2021,945,861,0
08/06/2021,681,723,0
09/06/2021,596,620,0
10/06/2021,498,522,1
11/06/2021,626,687,1
12/06/2021,62,59,0
13/06/2021,77,26,0
14/06/2021,581,557,2
15/06/2021,635,696,0
16/06/2021,532,535,0
17/06/2021,540,543,1
18/06/2021,748,812,0
19/06/2021,69,89,0
20/06/2021,66,16,0
21/06/2021,836,826,1
22/06/2021,610,698,2
23/06/2021,617,695,0
24/06/2021,597,668,0
25/06/2021,806,935,0
26/06/2021,44,94,0
27/06/2021,20,22,0
28/06/2021,784,868,0
29/06/2021,547,720,4
30/06/2021,3,5,0
01/07/2021,644,619,0
02/07/2021,565,619,0
03/07/2021,74,60,0
04/07/2021,85,26,0
05/07/2021,1000,942,0
06/07/2021,740,781,0
07/07/2021,807,823,2
08/07/2021,754,780,0
09/07/2021,762,837,1
10/07/2021,66,84,1
11/07/2021,60,23,0
12/07/2021,795,754,0
13/07/2021,677,728,0
14/07/2021,570,590,0
15/07/2021,618,629,1
16/07/2021,722,833,2
17/07/2021,63,85,0
18/07/2021,62,23,0
19/07/2021,570,532,0
20/07/2021,675,776,0
21/07/2021,350,357,0
22/07/2021,567,596,0
23/07/2021,636,733,1
24/07/2021,37,59,0
25/07/2021,48,19,0
26/07/2021,675,700,0
27/07/2021,591,717,1
28/07/2021,506,577,0
29/07/2021,444,531,0
30/07/2021,622,740,1
31/07/2021,2,50,0
01/08/2021,24,18,0
02/08/2021,710,756,1
03/08/2021,553,692,1
04/08/2021,591,674,0
05/08/2021,543,639,1
06/08/2021,0,0,0
07/08/2021,,,
08/08/2021,,,
09/08/2021,,,
10/08/2021,,,
11/08/2021,,,
12/08/2021,,,
13/08/2021,,,
14/08/2021,,,
15/08/2021,,,
